Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) T,Coverage (%) Y,Coverage (%) Z,Coverage (%) I,Coverage (%) K,Area T,Area Y,Area Z,Area I,Area K,#Peptides,#Unique,#Spec T,#Spec Y,#Spec Z,#Spec I,#Spec K,PTM,Avg. Mass,Description
122,4700,ENSMUSP00000024932.5|ENSMUST00000024932.11|ENSMUSG00000024121.13|OTTMUSG00000023843.2|OTTMUST00000058234.1|Atp6v0c-201|Atp6v0c|155,27.55,5,5,5,0,5,5,3.5353E7,6.5206E6,,8.338E6,1.4441E7,1,1,32,7,0,9,13,Oxidation (M),15808,ENSMUSP00000024932.5|ENSMUST00000024932.11|ENSMUSG00000024121.13|OTTMUSG00000023843.2|OTTMUST00000058234.1|Atp6v0c-201|Atp6v0c|155
122,4701,ENSMUST00000122373.1|ENSMUSG00000080242.5|OTTMUSG00000022604.1|OTTMUST00000054143.1|Atp6v0c-ps2-201|Atp6v0c-ps2|465|processed_pseudogene|,27.55,5,5,5,0,5,5,3.5353E7,6.5206E6,,8.338E6,1.4441E7,1,1,32,7,0,9,13,Oxidation (M),15927,ENSMUST00000122373.1|ENSMUSG00000080242.5|OTTMUSG00000022604.1|OTTMUST00000054143.1|Atp6v0c-ps2-201|Atp6v0c-ps2|465|processed_pseudogene|
1456,5054,ENSMUSP00000119958.1|ENSMUST00000133927.1|ENSMUSG00000019868.16|OTTMUSG00000031918.3|OTTMUST00000079149.1|Vta1-202|Vta1|70,27.54,11,11,0,0,0,0,1.2144E5,,,,,1,1,1,0,0,0,0,,8082,ENSMUSP00000119958.1|ENSMUST00000133927.1|ENSMUSG00000019868.16|OTTMUSG00000031918.3|OTTMUST00000079149.1|Vta1-202|Vta1|70
1286,2215,TCONS_00130756.p1,27.51,2,2,0,0,0,0,2.4254E5,,,,,1,1,1,0,0,0,0,,50570,TCONS_00130756.p1   chr7:34345935-34389478(-)
1286,3379,TCONS_00130757.p1,27.51,2,2,0,0,0,0,2.4254E5,,,,,1,1,1,0,0,0,0,,44203,TCONS_00130757.p1   chr7:34345935-34389478(-)
1286,3704,ENSMUSP00000082723.5|ENSMUST00000085585.11|ENSMUSG00000066568.12|OTTMUSG00000008387.3|OTTMUST00000019037.2|Lsm14a-201|Lsm14a|462,27.51,2,2,0,0,0,0,2.4254E5,,,,,1,1,1,0,0,0,0,,50546,ENSMUSP00000082723.5|ENSMUST00000085585.11|ENSMUSG00000066568.12|OTTMUSG00000008387.3|OTTMUST00000019037.2|Lsm14a-201|Lsm14a|462
1286,4057,ENSMUSP00000145883.1|ENSMUST00000205519.1|ENSMUSG00000066568.12|OTTMUSG00000008387.3|OTTMUST00000142769.1|Lsm14a-205|Lsm14a|158,27.51,6,6,0,0,0,0,2.4254E5,,,,,1,1,1,0,0,0,0,,17239,ENSMUSP00000145883.1|ENSMUST00000205519.1|ENSMUSG00000066568.12|OTTMUSG00000008387.3|OTTMUST00000142769.1|Lsm14a-205|Lsm14a|158
1286,5537,ENSMUSP00000119461.2|ENSMUST00000133046.2|ENSMUSG00000066568.12|OTTMUSG00000008387.3|OTTMUST00000019038.3|Lsm14a-202|Lsm14a|175,27.51,6,6,0,0,0,0,2.4254E5,,,,,1,1,1,0,0,0,0,,18769,ENSMUSP00000119461.2|ENSMUST00000133046.2|ENSMUSG00000066568.12|OTTMUSG00000008387.3|OTTMUST00000019038.3|Lsm14a-202|Lsm14a|175
1286,5538,ENSMUSP00000118766.2|ENSMUST00000155256.7|ENSMUSG00000066568.12|OTTMUSG00000008387.3|OTTMUST00000019039.3|Lsm14a-203|Lsm14a|287,27.51,3,3,0,0,0,0,2.4254E5,,,,,1,1,1,0,0,0,0,,31293,ENSMUSP00000118766.2|ENSMUST00000155256.7|ENSMUSG00000066568.12|OTTMUSG00000008387.3|OTTMUST00000019039.3|Lsm14a-203|Lsm14a|287
1352,3080,TCONS_00152528.p2,27.50,5,5,0,0,0,0,3.1982E5,,,,,1,1,1,0,0,0,0,,40140,TCONS_00152528.p2   chrX:13202572-13203783(+)
1352,3081,ENSMUSP00000080354.7|ENSMUST00000081650.14|ENSMUSG00000060036.14|OTTMUSG00000049399.2|OTTMUST00000125951.2|Rpl3-201|Rpl3|403,27.50,4,4,0,0,0,0,3.1982E5,,,,,1,1,1,0,0,0,0,,46110,ENSMUSP00000080354.7|ENSMUST00000081650.14|ENSMUSG00000060036.14|OTTMUSG00000049399.2|OTTMUST00000125951.2|Rpl3-201|Rpl3|403
1352,3082,ENSMUST00000120557.1|ENSMUSG00000084349.3|OTTMUSG00000017075.1|OTTMUST00000041346.1|Rpl3-ps1-201|Rpl3-ps1|1210|processed_pseudogene|,27.50,4,4,0,0,0,0,3.1982E5,,,,,1,1,1,0,0,0,0,,46229,ENSMUST00000120557.1|ENSMUSG00000084349.3|OTTMUSG00000017075.1|OTTMUST00000041346.1|Rpl3-ps1-201|Rpl3-ps1|1210|processed_pseudogene|
1352,3083,ENSMUST00000089501.4|ENSMUSG00000068262.4|OTTMUSG00000057255.1|OTTMUST00000140942.1|Gm5879-201|Gm5879|1209|processed_pseudogene|,27.50,4,4,0,0,0,0,3.1982E5,,,,,1,1,1,0,0,0,0,,46244,ENSMUST00000089501.4|ENSMUSG00000068262.4|OTTMUSG00000057255.1|OTTMUST00000140942.1|Gm5879-201|Gm5879|1209|processed_pseudogene|
1352,3084,ENSMUST00000117131.1|ENSMUSG00000084131.1|OTTMUSG00000017703.2|OTTMUST00000042901.2|Rpl3-ps2-201|Rpl3-ps2|1214|processed_pseudogene|,27.50,5,5,0,0,0,0,3.1982E5,,,,,1,1,1,0,0,0,0,,40323,ENSMUST00000117131.1|ENSMUSG00000084131.1|OTTMUSG00000017703.2|OTTMUST00000042901.2|Rpl3-ps2-201|Rpl3-ps2|1214|processed_pseudogene|
1352,3894,ENSMUST00000187578.1|ENSMUSG00000060036.14|OTTMUSG00000049399.2|OTTMUST00000125950.1|Rpl3-204|Rpl3|1877|retained_intron|,27.50,7,7,0,0,0,0,3.1982E5,,,,,1,1,1,0,0,0,0,,28610,ENSMUST00000187578.1|ENSMUSG00000060036.14|OTTMUSG00000049399.2|OTTMUST00000125950.1|Rpl3-204|Rpl3|1877|retained_intron|
1352,4449,ENSMUSP00000155250.1|ENSMUST00000230985.1|ENSMUSG00000060036.14|OTTMUSG00000049399.2|OTTMUST00000171230.1|Rpl3-207|Rpl3|134,27.50,13,13,0,0,0,0,3.1982E5,,,,,1,1,1,0,0,0,0,,15374,ENSMUSP00000155250.1|ENSMUST00000230985.1|ENSMUSG00000060036.14|OTTMUSG00000049399.2|OTTMUST00000171230.1|Rpl3-207|Rpl3|134
727,4831,ENSMUSP00000115558.1|ENSMUST00000127206.7|ENSMUSG00000026360.9|OTTMUSG00000020882.3|OTTMUST00000049364.2|Rgs2-202|Rgs2|211,27.49,5,0,5,0,0,0,,3.6888E5,,,,1,1,0,7,0,0,0,,24294,ENSMUSP00000115558.1|ENSMUST00000127206.7|ENSMUSG00000026360.9|OTTMUSG00000020882.3|OTTMUST00000049364.2|Rgs2-202|Rgs2|211
409,4965,ENSMUSP00000099325.4|ENSMUST00000103036.4|ENSMUSG00000018858.15|OTTMUSG00000003439.3|OTTMUST00000008332.2|Mrpl58-202|Mrpl58|177,27.46,5,5,5,0,0,0,5.0344E6,7.6862E6,,,,1,1,8,9,0,0,0,,20277,ENSMUSP00000099325.4|ENSMUST00000103036.4|ENSMUSG00000018858.15|OTTMUSG00000003439.3|OTTMUST00000008332.2|Mrpl58-202|Mrpl58|177
409,4970,ENSMUSP00000116746.1|ENSMUST00000153983.7|ENSMUSG00000018858.15|OTTMUSG00000003439.3|OTTMUST00000007260.3|Mrpl58-209|Mrpl58|206,27.46,4,4,4,0,0,0,5.0344E6,7.6862E6,,,,1,1,8,9,0,0,0,,23477,ENSMUSP00000116746.1|ENSMUST00000153983.7|ENSMUSG00000018858.15|OTTMUSG00000003439.3|OTTMUST00000007260.3|Mrpl58-209|Mrpl58|206
671,4314,ENSMUSP00000126071.1|ENSMUST00000163336.7|ENSMUSG00000056234.15|OTTMUSG00000036491.6|OTTMUST00000093552.1|Ncoa4-202|Ncoa4|625,27.45,1,1,1,0,1,1,4.3139E5,4.0556E5,,1.2177E6,1.217E6,1,1,2,1,0,3,2,,70381,ENSMUSP00000126071.1|ENSMUST00000163336.7|ENSMUSG00000056234.15|OTTMUSG00000036491.6|OTTMUST00000093552.1|Ncoa4-202|Ncoa4|625
671,4363,ENSMUSP00000129917.1|ENSMUST00000169722.7|ENSMUSG00000056234.15|OTTMUSG00000036491.6|OTTMUST00000093572.2|Ncoa4-208|Ncoa4|338,27.45,2,2,2,0,2,2,4.3139E5,4.0556E5,,1.2177E6,1.217E6,1,1,2,1,0,3,2,,38009,ENSMUSP00000129917.1|ENSMUST00000169722.7|ENSMUSG00000056234.15|OTTMUSG00000036491.6|OTTMUST00000093572.2|Ncoa4-208|Ncoa4|338
314,3021,ENSMUSP00000033012.7|ENSMUST00000033012.8|ENSMUSG00000030754.9|OTTMUSG00000060372.2|OTTMUST00000147720.1|Copb1-201|Copb1|953,27.45,1,1,1,0,1,0,1.3458E7,3.8499E6,,1.8416E6,,1,1,11,9,0,4,0,,107066,ENSMUSP00000033012.7|ENSMUST00000033012.8|ENSMUSG00000030754.9|OTTMUSG00000060372.2|OTTMUST00000147720.1|Copb1-201|Copb1|953
1257,1519,ENSMUSP00000009234.9|ENSMUST00000009234.15|ENSMUSG00000009090.17|OTTMUSG00000005076.1|-|Ap1b1-201|Ap1b1|943,27.44,2,2,0,0,0,0,4.065E5,,,,,1,1,1,0,0,0,0,,103935,ENSMUSP00000009234.9|ENSMUST00000009234.15|ENSMUSG00000009090.17|OTTMUSG00000005076.1|-|Ap1b1-201|Ap1b1|943
1257,1875,ENSMUSP00000105523.1|ENSMUST00000109897.7|ENSMUSG00000009090.17|OTTMUSG00000005076.1|OTTMUST00000011326.1|Ap1b1-203|Ap1b1|916,27.44,2,2,0,0,0,0,4.065E5,,,,,1,1,1,0,0,0,0,,101193,ENSMUSP00000105523.1|ENSMUST00000109897.7|ENSMUSG00000009090.17|OTTMUSG00000005076.1|OTTMUST00000011326.1|Ap1b1-203|Ap1b1|916
1257,1876,ENSMUSP00000099134.2|ENSMUST00000101613.2|ENSMUSG00000009090.17|OTTMUSG00000005076.1|OTTMUST00000011327.1|Ap1b1-202|Ap1b1|923,27.44,2,2,0,0,0,0,4.065E5,,,,,1,1,1,0,0,0,0,,101898,ENSMUSP00000099134.2|ENSMUST00000101613.2|ENSMUSG00000009090.17|OTTMUSG00000005076.1|OTTMUST00000011327.1|Ap1b1-202|Ap1b1|923
720,3104,ENSMUSP00000110080.2|ENSMUST00000114437.8|ENSMUSG00000032058.14|OTTMUSG00000037681.4|OTTMUST00000097365.1|Ppp2r1b-202|Ppp2r1b|601,27.43,1,1,1,0,0,0,8.0162E5,3.8828E6,,,,1,1,3,4,0,0,0,,65934,ENSMUSP00000110080.2|ENSMUST00000114437.8|ENSMUSG00000032058.14|OTTMUSG00000037681.4|OTTMUST00000097365.1|Ppp2r1b-202|Ppp2r1b|601
720,3113,ENSMUSP00000133404.1|ENSMUST00000174628.7|ENSMUSG00000032058.14|OTTMUSG00000037681.4|OTTMUST00000097364.1|Ppp2r1b-204|Ppp2r1b|694,27.43,1,1,1,0,0,0,8.0162E5,3.8828E6,,,,1,1,3,4,0,0,0,,76065,ENSMUSP00000133404.1|ENSMUST00000174628.7|ENSMUSG00000032058.14|OTTMUSG00000037681.4|OTTMUST00000097364.1|Ppp2r1b-204|Ppp2r1b|694
451,5324,ENSMUSP00000028948.4|ENSMUST00000028948.4|ENSMUSG00000027454.10|OTTMUSG00000015786.1|OTTMUST00000037525.1|Gins1-201|Gins1|196,27.43,4,4,4,0,0,0,7.7401E6,1.0187E6,,,,1,1,8,7,0,0,0,,22893,ENSMUSP00000028948.4|ENSMUST00000028948.4|ENSMUSG00000027454.10|OTTMUSG00000015786.1|OTTMUST00000037525.1|Gins1-201|Gins1|196
962,1431,ENSMUSP00000140931.1|ENSMUST00000188997.6|ENSMUSG00000021709.14|OTTMUSG00000049022.1|OTTMUST00000125223.1|Erbin-205|Erbin|1294,27.42,1,0,0,0,0,1,,,,,1.8456E6,1,1,0,0,0,0,3,,145095,ENSMUSP00000140931.1|ENSMUST00000188997.6|ENSMUSG00000021709.14|OTTMUSG00000049022.1|OTTMUST00000125223.1|Erbin-205|Erbin|1294
962,1434,TCONS_00039454.p1,27.42,1,0,0,0,0,1,,,,,1.8456E6,1,1,0,0,0,0,3,,149388,TCONS_00039454.p1   chr13:103820699-103886329(-)
962,1438,ENSMUSP00000022222.5|ENSMUST00000022222.11|ENSMUSG00000021709.14|OTTMUSG00000049022.1|-|Erbin-201|Erbin|1376,27.42,1,0,0,0,0,1,,,,,1.8456E6,1,1,0,0,0,0,3,,154327,ENSMUSP00000022222.5|ENSMUST00000022222.11|ENSMUSG00000021709.14|OTTMUSG00000049022.1|-|Erbin-201|Erbin|1376
962,1439,ENSMUSP00000088813.4|ENSMUST00000091269.10|ENSMUSG00000021709.14|OTTMUSG00000049022.1|OTTMUST00000125222.1|Erbin-203|Erbin|1402,27.42,1,0,0,0,0,1,,,,,1.8456E6,1,1,0,0,0,0,3,,157248,ENSMUSP00000088813.4|ENSMUST00000091269.10|ENSMUSG00000021709.14|OTTMUSG00000049022.1|OTTMUST00000125222.1|Erbin-203|Erbin|1402
962,1440,ENSMUSP00000127607.1|ENSMUST00000169083.7|ENSMUSG00000021709.14|OTTMUSG00000049022.1|OTTMUST00000125224.1|Erbin-204|Erbin|1411,27.42,1,0,0,0,0,1,,,,,1.8456E6,1,1,0,0,0,0,3,,157889,ENSMUSP00000127607.1|ENSMUST00000169083.7|ENSMUSG00000021709.14|OTTMUSG00000049022.1|OTTMUST00000125224.1|Erbin-204|Erbin|1411
962,1443,TCONS_00039453,27.42,1,0,0,0,0,1,,,,,1.8456E6,1,1,0,0,0,0,3,,162182,TCONS_00039453
962,1444,TCONS_00039456.p1,27.42,1,0,0,0,0,1,,,,,1.8456E6,1,1,0,0,0,0,3,,141691,TCONS_00039456.p1   chr13:103820699-103862339(-)
962,1446,TCONS_00039455.p1,27.42,1,0,0,0,0,1,,,,,1.8456E6,1,1,0,0,0,0,3,,165070,TCONS_00039455.p1   chr13:103820699-103893437(-)
770,1212,TCONS_00116349.p1,27.39,0,0,0,0,0,0,2.8624E6,4.5765E5,,,,1,1,4,2,0,0,0,,303242,TCONS_00116349.p1   chr6:108253071-108549839(+)
770,1213,TCONS_00116343.p1,27.39,0,0,0,0,0,0,2.8624E6,4.5765E5,,,,1,1,4,2,0,0,0,,308628,TCONS_00116343.p1   chr6:108236994-108549839(+)
770,1215,TCONS_00116344.p1,27.39,0,0,0,0,0,0,2.8624E6,4.5765E5,,,,1,1,4,2,0,0,0,,309686,TCONS_00116344.p1   chr6:108236994-108549839(+)
770,1216,TCONS_00116345.p1,27.39,0,0,0,0,0,0,2.8624E6,4.5765E5,,,,1,1,4,2,0,0,0,,310682,TCONS_00116345.p1   chr6:108236994-108549839(+)
770,1217,TCONS_00116346.p1,27.39,0,0,0,0,0,0,2.8624E6,4.5765E5,,,,1,1,4,2,0,0,0,,311740,TCONS_00116346.p1   chr6:108236994-108549839(+)
770,1219,ENSMUSP00000144880.1|ENSMUST00000203615.2|ENSMUSG00000030102.11|OTTMUSG00000056439.3|OTTMUST00000139425.1|Itpr1-205|Itpr1|2748,27.39,0,0,0,0,0,0,2.8624E6,4.5765E5,,,,1,1,4,2,0,0,0,,313038,ENSMUSP00000144880.1|ENSMUST00000203615.2|ENSMUSG00000030102.11|OTTMUSG00000056439.3|OTTMUST00000139425.1|Itpr1-205|Itpr1|2748
770,1220,ENSMUSP00000032192.6|ENSMUST00000032192.8|ENSMUSG00000030102.11|OTTMUSG00000056439.3|OTTMUST00000139424.1|Itpr1-201|Itpr1|2749,27.39,0,0,0,0,0,0,2.8624E6,4.5765E5,,,,1,1,4,2,0,0,0,,313166,ENSMUSP00000032192.6|ENSMUST00000032192.8|ENSMUSG00000030102.11|OTTMUSG00000056439.3|OTTMUST00000139424.1|Itpr1-201|Itpr1|2749
256,2603,ENSMUSP00000025684.3|ENSMUST00000025684.3|ENSMUSG00000024772.9|OTTMUSG00000018621.3|OTTMUST00000044836.1|Ehd1-201|Ehd1|534,27.38,1,1,1,1,1,1,8.4715E5,1.0373E6,2.5833E5,2.2061E6,2.3882E6,1,1,4,6,3,7,10,,60603,ENSMUSP00000025684.3|ENSMUST00000025684.3|ENSMUSG00000024772.9|OTTMUSG00000018621.3|OTTMUST00000044836.1|Ehd1-201|Ehd1|534
638,3950,ENSMUST00000156078.1|ENSMUSG00000028245.15|OTTMUSG00000004313.4|OTTMUST00000009773.2|Nsmaf-209|Nsmaf|4705|retained_intron|,27.38,4,4,4,0,0,0,1.7493E6,1.2456E6,,,,1,1,8,1,0,0,0,Oxidation (M),21146,ENSMUST00000156078.1|ENSMUSG00000028245.15|OTTMUSG00000004313.4|OTTMUST00000009773.2|Nsmaf-209|Nsmaf|4705|retained_intron|
638,4618,TCONS_00098963.p1,27.38,1,1,1,0,0,0,1.7493E6,1.2456E6,,,,1,1,8,1,0,0,0,Oxidation (M),102367,TCONS_00098963.p1   chr4:6396723-6454182(-)
638,4619,ENSMUSP00000029910.5|ENSMUST00000029910.11|ENSMUSG00000028245.15|OTTMUSG00000004313.4|OTTMUST00000009770.3|Nsmaf-201|Nsmaf|920,27.38,1,1,1,0,0,0,1.7493E6,1.2456E6,,,,1,1,8,1,0,0,0,Oxidation (M),104545,ENSMUSP00000029910.5|ENSMUST00000029910.11|ENSMUSG00000028245.15|OTTMUSG00000004313.4|OTTMUST00000009770.3|Nsmaf-201|Nsmaf|920
638,4625,TCONS_00098965.p1,27.38,1,1,1,0,0,0,1.7493E6,1.2456E6,,,,1,1,8,1,0,0,0,Oxidation (M),107562,TCONS_00098965.p1   chr4:6396723-6454043(-)
638,4634,TCONS_00098964.p1,27.38,1,1,1,0,0,0,1.7493E6,1.2456E6,,,,1,1,8,1,0,0,0,Oxidation (M),122209,TCONS_00098964.p1   chr4:6396723-6454043(-)
638,5229,ENSMUST00000143566.7|ENSMUSG00000028245.15|OTTMUSG00000004313.4|OTTMUST00000009772.2|Nsmaf-204|Nsmaf|2870|processed_transcript|,27.38,1,1,1,0,0,0,1.7493E6,1.2456E6,,,,1,1,8,1,0,0,0,Oxidation (M),87543,ENSMUST00000143566.7|ENSMUSG00000028245.15|OTTMUSG00000004313.4|OTTMUST00000009772.2|Nsmaf-204|Nsmaf|2870|processed_transcript|
1008,6616,ENSMUST00000132373.1|ENSMUSG00000027242.14|OTTMUSG00000015376.3|OTTMUST00000036449.1|Wdr76-205|Wdr76|3155|retained_intron|,27.37,3,0,3,0,0,0,,7.96E4,,,,1,1,0,3,0,0,0,,34000,ENSMUST00000132373.1|ENSMUSG00000027242.14|OTTMUSG00000015376.3|OTTMUST00000036449.1|Wdr76-205|Wdr76|3155|retained_intron|
1008,6617,ENSMUSP00000097072.3|ENSMUST00000099473.9|ENSMUSG00000027242.14|OTTMUSG00000015376.3|OTTMUST00000036448.1|Wdr76-202|Wdr76|320,27.37,3,0,3,0,0,0,,7.96E4,,,,1,1,0,3,0,0,0,,34740,ENSMUSP00000097072.3|ENSMUST00000099473.9|ENSMUSG00000027242.14|OTTMUSG00000015376.3|OTTMUST00000036448.1|Wdr76-202|Wdr76|320
1008,6619,TCONS_00078199.p1,27.37,2,0,2,0,0,0,,7.96E4,,,,1,1,0,3,0,0,0,,47268,TCONS_00078199.p1   chr2:121506756-121531480(+)
1008,6622,ENSMUSP00000028676.5|ENSMUST00000028676.11|ENSMUSG00000027242.14|OTTMUSG00000015376.3|OTTMUST00000036447.1|Wdr76-201|Wdr76|524,27.37,2,0,2,0,0,0,,7.96E4,,,,1,1,0,3,0,0,0,,57961,ENSMUSP00000028676.5|ENSMUST00000028676.11|ENSMUSG00000027242.14|OTTMUSG00000015376.3|OTTMUST00000036447.1|Wdr76-201|Wdr76|524
1008,7374,TCONS_00078201.p2,27.37,4,0,4,0,0,0,,7.96E4,,,,1,1,0,3,0,0,0,,30547,TCONS_00078201.p2   chr2:121531307-121542562(+)
568,1965,ENSMUSP00000109589.3|ENSMUST00000113956.9|ENSMUSG00000022952.17|OTTMUSG00000049470.3|OTTMUST00000126111.1|Runx1-202|Runx1|387,27.36,2,2,0,0,0,2,2.1073E6,,,,3.1707E6,1,1,7,0,0,0,4,Oxidation (M),41273,ENSMUSP00000109589.3|ENSMUST00000113956.9|ENSMUSG00000022952.17|OTTMUSG00000049470.3|OTTMUST00000126111.1|Runx1-202|Runx1|387
568,1966,TCONS_00056952.p1,27.36,2,2,0,0,0,2,2.1073E6,,,,3.1707E6,1,1,7,0,0,0,4,Oxidation (M),42902,TCONS_00056952.p1   chr16:92605655-92825646(-)
568,1968,ENSMUSP00000131079.1|ENSMUST00000168195.7|ENSMUSG00000022952.17|OTTMUSG00000049470.3|OTTMUST00000126112.1|Runx1-203|Runx1|451,27.36,2,2,0,0,0,2,2.1073E6,,,,3.1707E6,1,1,7,0,0,0,4,Oxidation (M),48584,ENSMUSP00000131079.1|ENSMUST00000168195.7|ENSMUSG00000022952.17|OTTMUSG00000049470.3|OTTMUST00000126112.1|Runx1-203|Runx1|451
568,1971,ENSMUSP00000023673.7|ENSMUST00000023673.13|ENSMUSG00000022952.17|OTTMUSG00000049470.3|OTTMUST00000126110.1|Runx1-201|Runx1|465,27.36,2,2,0,0,0,2,2.1073E6,,,,3.1707E6,1,1,7,0,0,0,4,Oxidation (M),50212,ENSMUSP00000023673.7|ENSMUST00000023673.13|ENSMUSG00000022952.17|OTTMUSG00000049470.3|OTTMUST00000126110.1|Runx1-201|Runx1|465
1007,5697,ENSMUSP00000118828.2|ENSMUST00000123989.8|ENSMUSG00000024013.15|OTTMUSG00000028987.3|OTTMUST00000071955.2|Fgd2-202|Fgd2|391,27.34,2,2,0,0,0,0,6.5914E5,,,,,1,1,3,0,0,0,0,,43731,ENSMUSP00000118828.2|ENSMUST00000123989.8|ENSMUSG00000024013.15|OTTMUSG00000028987.3|OTTMUST00000071955.2|Fgd2-202|Fgd2|391
1007,5703,ENSMUSP00000024810.6|ENSMUST00000024810.7|ENSMUSG00000024013.15|OTTMUSG00000028987.3|OTTMUST00000071875.3|Fgd2-201|Fgd2|655,27.34,1,1,0,0,0,0,6.5914E5,,,,,1,1,3,0,0,0,0,,74634,ENSMUSP00000024810.6|ENSMUST00000024810.7|ENSMUSG00000024013.15|OTTMUSG00000028987.3|OTTMUST00000071875.3|Fgd2-201|Fgd2|655
1007,5704,TCONS_00058819.p1,27.34,1,1,0,0,0,0,6.5914E5,,,,,1,1,3,0,0,0,0,,74721,TCONS_00058819.p1   chr17:29361093-29379060(+)
1297,1577,ENSMUSP00000034846.5|ENSMUST00000034846.6|ENSMUSG00000032300.7|OTTMUSG00000063140.1|OTTMUST00000153709.1|1700017B05Rik-201|1700017B05Rik|1023,27.32,1,1,0,0,0,0,2.0685E5,,,,,1,1,1,0,0,0,0,,108224,ENSMUSP00000034846.5|ENSMUST00000034846.6|ENSMUSG00000032300.7|OTTMUSG00000063140.1|OTTMUST00000153709.1|1700017B05Rik-201|1700017B05Rik|1023
1297,1604,ENSMUSP00000150884.1|ENSMUST00000213199.1|ENSMUSG00000032300.7|OTTMUSG00000063140.1|OTTMUST00000153712.1|1700017B05Rik-202|1700017B05Rik|908,27.32,1,1,0,0,0,0,2.0685E5,,,,,1,1,1,0,0,0,0,,96180,ENSMUSP00000150884.1|ENSMUST00000213199.1|ENSMUSG00000032300.7|OTTMUSG00000063140.1|OTTMUST00000153712.1|1700017B05Rik-202|1700017B05Rik|908
166,1304,ENSMUST00000140466.7|ENSMUSG00000047193.16|OTTMUSG00000033489.2|OTTMUST00000084205.1|Dync2h1-204|Dync2h1|14264|protein_coding|,27.25,0,0,0,0,0,0,1.9353E7,1.3084E7,3.3889E5,1.1498E7,9.7104E6,1,1,14,13,1,7,12,,492344,ENSMUST00000140466.7|ENSMUSG00000047193.16|OTTMUSG00000033489.2|OTTMUST00000084205.1|Dync2h1-204|Dync2h1|14264|protein_coding|
166,1317,TCONS_00147896.p1,27.25,0,0,0,0,0,0,1.9353E7,1.3084E7,3.3889E5,1.1498E7,9.7104E6,1,1,14,13,1,7,12,,486574,TCONS_00147896.p1   chr9:6929465-7176957(-)
166,3325,ENSMUST00000147056.1|ENSMUSG00000047193.16|OTTMUSG00000033489.2|OTTMUST00000084208.1|Dync2h1-205|Dync2h1|4365|retained_intron|,27.25,1,1,1,1,1,1,1.9353E7,1.3084E7,3.3889E5,1.1498E7,9.7104E6,1,1,14,13,1,7,12,,84890,ENSMUST00000147056.1|ENSMUSG00000047193.16|OTTMUSG00000033489.2|OTTMUST00000084208.1|Dync2h1-205|Dync2h1|4365|retained_intron|
207,3673,ENSMUSP00000023189.7|ENSMUST00000023189.14|ENSMUSG00000022536.14|OTTMUSG00000071047.1|OTTMUST00000171815.1|Glyr1-201|Glyr1|546,27.21,1,1,1,1,1,1,4.0963E7,1.8253E5,0,7.7002E7,3.8865E6,1,1,13,1,2,21,2,,59716,ENSMUSP00000023189.7|ENSMUST00000023189.14|ENSMUSG00000022536.14|OTTMUSG00000071047.1|OTTMUST00000171815.1|Glyr1-201|Glyr1|546
207,3675,ENSMUSP00000111510.1|ENSMUST00000115844.2|ENSMUSG00000022536.14|OTTMUSG00000071047.1|OTTMUST00000171814.1|Glyr1-202|Glyr1|552,27.21,1,1,1,1,1,1,4.0963E7,1.8253E5,0,7.7002E7,3.8865E6,1,1,13,1,2,21,2,,60435,ENSMUSP00000111510.1|ENSMUST00000115844.2|ENSMUSG00000022536.14|OTTMUSG00000071047.1|OTTMUST00000171814.1|Glyr1-202|Glyr1|552
736,2308,ENSMUSP00000020017.8|ENSMUST00000020017.13|ENSMUSG00000019866.15|OTTMUSG00000055246.3|OTTMUST00000155053.1|Crybg1-201|Crybg1|1691,27.19,0,0,0,0,0,0,5.777E6,,,,,1,1,6,0,0,0,0,,184730,ENSMUSP00000020017.8|ENSMUST00000020017.13|ENSMUSG00000019866.15|OTTMUSG00000055246.3|OTTMUST00000155053.1|Crybg1-201|Crybg1|1691
736,2320,ENSMUSP00000143429.1|ENSMUST00000200401.1|ENSMUSG00000019866.15|OTTMUSG00000055246.3|OTTMUST00000136812.1|Crybg1-202|Crybg1|2065,27.19,0,0,0,0,0,0,5.777E6,,,,,1,1,6,0,0,0,0,,223446,ENSMUSP00000143429.1|ENSMUST00000200401.1|ENSMUSG00000019866.15|OTTMUSG00000055246.3|OTTMUST00000136812.1|Crybg1-202|Crybg1|2065
1410,2242,ENSMUSP00000131758.1|ENSMUST00000125446.2|ENSMUSG00000034848.17|OTTMUSG00000012999.2|OTTMUST00000031326.2|Ttc21b-202|Ttc21b|1269,27.14,1,1,0,0,0,0,1.2699E5,,,,,1,1,1,0,0,0,0,,145370,ENSMUSP00000131758.1|ENSMUST00000125446.2|ENSMUSG00000034848.17|OTTMUSG00000012999.2|OTTMUST00000031326.2|Ttc21b-202|Ttc21b|1269
1410,2243,ENSMUSP00000099779.3|ENSMUST00000102718.9|ENSMUSG00000034848.17|OTTMUSG00000012999.2|OTTMUST00000031324.1|Ttc21b-201|Ttc21b|1315,27.14,1,1,0,0,0,0,1.2699E5,,,,,1,1,1,0,0,0,0,,150794,ENSMUSP00000099779.3|ENSMUST00000102718.9|ENSMUSG00000034848.17|OTTMUSG00000012999.2|OTTMUST00000031324.1|Ttc21b-201|Ttc21b|1315
